a:3169085520,b:4892082497,c:5828857021
a:1,b:1,c:1
a:8680453126,b:13399920116,c:15965842465
a:1,b:1,c:1
a:4,b:6,c:7
a:15045861845,b:23226131616,c:27673654412
a:38063759,b:58758606,c:70010168
a:12567142377,b:19399759607,c:23114578523
a:1682143483,b:2596706412,c:3093944230
a:3,b:5,c:6
a:272809183135,b:421132538567,c:501774317241
a:448699366743,b:692652282444,c:825286802325
a:8780170499,b:13553852729,c:16149251306
a:435431054754,b:672170135009,c:800882571818
a:1394,b:2152,c:2564
a:148323355432,b:228965134106,c:272809183135
a:19280526717,b:29763137252,c:35462417425
a:1,b:3,c:2
a:1,b:0,c:0
a:2,b:2,c:1
a:446896206589,b:689868763924,c:821970273734
a:41889463285,b:64664304221,c:77046735004
a:446439854419,b:689164298093,c:821130911231
a:468690346679,b:723512138524,c:862055946946
a:24153018951,b:37284749978,c:44424327855
a:0,b:1,c:0
a:20249238870,b:31258527559,c:37244156859
a:97867159160,b:151076458299,c:180005769613
a:173,b:267,c:317
a:333222467189,b:514391861382,c:612891670442
a:226078513,b:348994918,c:415823215
a:1,b:0,c:0
a:144751653,b:223451536,c:266239797
a:2737,b:4223,c:5033
a:0,b:1,c:1
a:84335453114,b:130187712352,c:155117081906
a:778473361191,b:1201720774345,c:1431835742527
a:107,b:164,c:195
a:91018150936,b:140503719556,c:167408479501
a:23837527729,b:36797729645,c:43844049029
a:7,b:12,c:14
a:1,b:1,c:1
a:1491047539,b:2301713703,c:2742463988
a:3966823426,b:6123541738,c:7296125789
a:17,b:28,c:32
a:7046319384,b:10877325813,c:12960201916
a:25081663186,b:38718287880,c:46132370895
a:73222,b:113032,c:134676
a:2687085,b:4148024,c:4942321
a:1,b:1,c:0
a:0,b:1,c:0
a:3,b:4,c:6
a:1727227084,b:2666301473,c:3176865900
a:92735015,b:143154025,c:170566287
a:67805325991,b:104670336735,c:124713438029
a:14969113148,b:23107655496,c:27532491550
a:462410965395,b:713818726630,c:850506364118
a:1,b:0,c:0
a:4,b:6,c:7
a:18151833,b:28020785,c:33386427
a:78042146029,b:120472803352,c:143541885540
a:43844049029,b:67681576758,c:80641778674
a:3347862227,b:5168058135,c:6157678651
a:20067624689,b:30978171743,c:36910116300
a:0,b:1,c:1
a:0,b:1,c:0
a:24747251649,b:38202060465,c:45517292186
a:25125,b:38785,c:46212
a:18097684268,b:27937196361,c:33286830975
a:182899319190,b:282339669461,c:336404295322
a:71958283891,b:111081212214,c:132351918487
a:373139692390,b:576011643341,c:686310894055
a:29161826274,b:45016790809,c:53636960823
a:0,b:1,c:0
a:209388964,b:323231442,c:385126347
a:7,b:11,c:13
a:95059570169,b:146742414021,c:174841808368
a:437763577025,b:675770824010,c:805172749137
a:1,b:1,c:1
a:382643,b:590682,c:703792
a:3264492,b:5039363,c:6004339
a:1408925459,b:2174942751,c:2591417935
a:378201619559,b:583825684695,c:695621229655
a:1,b:0,c:0
a:5875550871,b:9070023323,c:10806822896
a:95815000865,b:147908564087,c:176231262044
a:818893184,b:1264116411,c:1506179388
a:2075644320,b:3204149333,c:3817705107
a:1,b:0,c:0
a:3956019479,b:6106863803,c:7276254230
a:1,b:1,c:0
a:45547820291,b:70311669736,c:83775502590
a:501774317241,b:774583500376,c:922906855808
a:496756084290,b:766836909305,c:913676886407
a:36980,b:57086,c:68017
a:1649644154,b:2546537555,c:3034168643
a:20644834294,b:31869203869,c:37971770281
a:24938809564,b:38497766315,c:45869622124
a:33594480336,b:51859430180,c:61789882730
a:1778500471,b:2745451636,c:3271172360
a:1,b:1,c:0
a:150329070,b:232061332,c:276498267
a:417979607081,b:645230526981,c:768784355255
a:80641778674,b:124485827703,c:148323355432
a:344295254385,b:531484801316,c:633257701274
a:399104972060,b:616093960279,c:734068489049
a:2,b:3,c:4
a:48609304932,b:75037649938,c:89406450740
a:2,b:3,c:3
a:13405654412,b:20694161426,c:24656842607
a:50453,b:77883,c:92796
a:1,b:1,c:2
a:420035640104,b:648404402566,c:772565989560
a:0,b:1,c:0
a:3831006429,b:5913882532,c:7046319384
a:2467694853,b:3809353431,c:4538798458
a:1277249353,b:1971675793,c:2349227819
a:1585898,b:2448133,c:2916923
a:13,b:20,c:24
a:4,b:5,c:6
a:922906855808,b:1424681173049,c:1697490356184
a:0,b:1,c:0
a:3212342345,b:4958857583,c:5908418729
a:132507820496,b:204550866598,c:243719879203
a:3728990142,b:5756401110,c:6858682177
a:2646253300,b:4084992146,c:4867218647
a:198544798926,b:306491424631,c:365180818983
a:487252942147,b:752167013194,c:896197882930
a:360911724991,b:557135464420,c:663820155576
a:511162114,b:789075341,c:940173708
a:6965746061,b:10752945659,c:12812004469
a:31759912273,b:49027427621,c:58415585990
a:12960201916,b:20006521300,c:23837527729
a:2082876103,b:3215312955,c:3831006429
a:8582892713,b:13249317179,c:15786400890
a:151272840095,b:233518221173,c:278234131210
a:1,b:0,c:1
a:0,b:2,c:2
a:61852503,b:95481029,c:113764490
a:0,b:0,c:1
a:12935610768,b:19968560216,c:23792297557
a:69313115721,b:106997895174,c:127486695710
a:2,b:2,c:2
a:19168055810,b:29589517148,c:35255551174
a:4005585203,b:6183377869,c:7367419813
a:157724412,b:243477443,c:290100422
a:56859132660,b:87772818358,c:104580249615
a:868064,b:1340020,c:1596618
a:0,b:1,c:0
a:1,b:2,c:2
